Id substituicao,Id partida,Id time,Id Jogador Substituido,Id Jogador Substituto,Tempo,Acrescimo
695,94588,119,10403,10404,62,
696,94588,129,80171,10278,62,
697,94588,119,10407,10405,75,
698,94588,119,10379,10377,78,
699,94588,129,10003,10288,78,
700,94589,133,10132,10564,58,
701,94589,133,10567,70299,59,
702,94589,121,9926,9920,67,
703,94589,121,9921,9925,73,
704,94589,133,10281,10571,75,
705,94589,121,9923,9935,79,
706,94590,128,9995,9989,46,
707,94590,145,10519,10530,46,
708,94590,145,10066,10527,57,
709,94590,128,2454,10506,65,
710,94590,145,14487,10531,68,
711,94590,128,2519,9997,85,
712,94591,134,10143,10150,46,
713,94591,134,10493,10147,63,
714,94591,126,9962,9960,75,
715,94591,134,10128,10127,80,
716,94591,126,9964,9951,84,
717,94591,126,9971,41,88,
718,94592,135,10093,10101,62,
719,94592,1062,9880,9901,70,
720,94592,135,10098,10105,77,
721,94592,1062,9894,9896,81,
722,94592,1062,9886,9883,86,
723,94592,135,10106,10103,86,
724,94593,145,14487,10368,46,
725,94593,145,70796,10533,53,
726,94593,120,10072,9793,66,
727,94593,145,10526,10532,75,
728,94593,120,10073,10065,78,
729,94593,120,10076,10056,82,
730,94594,118,9706,10027,43,
731,94594,127,34,10163,55,
732,94594,127,2511,10166,56,
733,94594,118,42163,10042,69,
734,94594,127,2612,10175,80,
735,94594,118,10041,10044,82,
736,94595,154,10434,13445,62,
737,94595,129,10292,10278,67,
738,94595,154,10438,10436,74,
739,94595,129,50532,80187,77,
740,94595,154,10256,10435,80,
741,94595,129,80166,10283,84,
742,94596,121,9920,9926,46,
743,94596,131,10252,10241,61,
744,94596,121,9936,9932,63,
745,94596,131,10247,9396,73,
746,94596,131,10258,10331,81,
747,94596,121,9929,9924,86,
748,94597,124,10322,9970,62,
749,94597,119,125677,10391,67,
750,94597,119,10407,10400,67,
751,94597,124,10319,10318,77,
752,94597,119,10396,10387,81,
753,94597,124,10320,695,84,
754,94598,130,10501,10500,64,
755,94598,132,10207,10205,65,
756,94598,132,10006,9726,70,
757,94598,130,10480,10502,74,
758,94598,130,10491,10507,74,
759,94598,132,10203,10198,79,
760,94599,128,9989,19420,61,
761,94599,151,10346,10356,61,
762,94599,128,2519,10506,72,
763,94599,151,10338,10350,73,
764,94599,128,10004,10182,77,
765,94599,151,10364,10363,81,
766,94600,133,10132,10564,46,
767,94600,150,10462,10459,55,
768,94600,133,10573,10579,58,
769,94600,133,10281,10567,72,
770,94600,150,10028,41277,72,
771,94600,150,63981,10272,90,5
772,94601,124,10321,9970,46,
773,94601,124,10322,10329,46,
774,94601,1062,9880,9901,61,
775,94601,124,10320,695,73,
776,94601,1062,2492,44494,74,
777,94601,1062,9894,9893,82,
778,94602,135,2485,10086,48,
779,94602,145,10544,10527,51,
780,94602,135,10093,10105,55,
781,94602,145,80312,10518,56,
782,94602,145,14487,10529,71,
783,94602,135,10084,10087,86,
784,94603,120,10076,80475,58,
785,94603,120,10052,10059,58,
786,94603,134,10134,10130,68,
787,94603,134,10127,10147,78,
788,94603,134,10129,9406,80,
789,94603,120,10062,10065,90,
790,94604,132,41247,10214,63,
791,94604,129,80186,77714,66,
792,94604,129,10278,10292,68,
793,94604,132,10207,9726,77,
794,94604,132,42100,10188,80,
795,94604,129,50532,80474,83,
796,94605,150,10290,9324,46,
797,94605,150,10462,80381,58,
798,94605,154,10436,10434,59,
799,94605,150,10450,10459,63,
800,94605,154,13445,10429,77,
801,94605,154,10438,10256,84,
802,94606,130,10484,2414,57,
803,94606,127,34,10163,61,
804,94606,127,10175,10168,66,
805,94606,130,10323,69198,70,
806,94606,127,2488,2511,78,
807,94606,130,10502,133188,84,
808,94607,151,10339,10338,49,
809,94607,151,10359,64046,58,
810,94607,133,10564,10565,67,
811,94607,151,10336,80277,78,
812,94607,133,70299,10572,79,
813,94607,133,10240,10569,84,
814,94608,119,10392,10402,59,
815,94608,131,10244,10331,67,
816,94608,119,10406,10398,75,
817,94608,131,10252,9396,75,
818,94608,131,10258,10249,81,
819,94608,119,10396,10397,82,
820,94609,118,10015,10019,43,
821,94609,118,9706,10039,46,
822,94609,121,9932,9924,46,
823,94609,121,1793,9934,69,
824,94609,118,10033,10027,79,
825,94610,126,9957,9959,46,
826,94610,128,9989,9997,57,
827,94610,126,9959,9966,61,
828,94610,128,2519,10506,69,
829,94610,128,10000,19420,74,
830,94610,126,9972,9962,82,
831,94611,1062,70593,9883,46,
832,94611,1062,9880,44494,46,
833,94611,134,10493,10144,64,
834,94611,134,10142,10133,71,
835,94611,1062,9886,9901,78,
836,94611,134,1977,10119,81,
837,94612,118,10042,9706,11,
838,94612,151,55148,10346,20,
839,94612,118,10019,9927,57,
840,94612,151,10359,10358,63,
841,94612,151,10364,10360,68,
842,94612,118,42163,10039,71,
843,94613,132,10207,9726,56,
844,94613,145,10518,10531,64,
845,94613,132,10390,10223,69,
846,94613,145,70796,10529,75,
847,94613,145,10525,14487,82,
848,94613,132,10203,10205,83,
849,94614,120,10076,80475,46,
850,94614,131,10254,10257,68,
851,94614,120,10062,10064,70,
852,94614,131,10331,10258,75,
853,94614,131,10241,10250,81,
854,94614,120,10073,41810,81,
855,94615,128,19420,10162,9,
856,94615,135,10084,10104,25,
857,94615,128,10162,9986,46,
858,94615,135,10090,10085,54,
859,94615,128,10000,9995,62,
860,94615,135,10105,10101,68,
861,94616,124,10329,695,46,
862,94616,150,9687,10290,57,
863,94616,124,10320,9975,61,
864,94616,150,10450,41277,71,
865,94616,150,64288,9324,78,
866,94616,124,10300,64331,83,
867,94617,154,13445,36009,60,
868,94617,119,10407,10404,65,
869,94617,154,10412,10426,69,
870,94617,119,10397,10403,73,
871,94617,154,10438,10434,80,
872,94617,119,10380,10379,90,6
873,94618,130,10499,69198,46,
874,94618,121,9917,9916,54,
875,94618,121,9925,9921,64,
876,94618,130,10502,2414,73,
877,94618,130,10482,10323,78,
878,94618,121,9939,12788,78,
879,94619,129,10265,10271,53,
880,94619,126,9964,9957,63,
881,94619,129,10292,80171,71,
882,94619,126,9971,9962,72,
883,94619,129,50532,10278,79,
884,94619,126,9955,9965,82,
885,94620,133,10132,10579,55,
886,94620,133,10551,10573,67,
887,94620,127,30408,10168,68,
888,94620,133,10565,10571,70,
889,94620,127,10174,10175,78,
890,94620,127,2612,2511,88,
891,94621,1062,44494,9900,46,
892,94621,1062,9893,47552,60,
893,94621,118,42163,10042,67,
894,94621,1062,9899,9891,72,
895,94621,118,10041,10044,72,
896,94621,118,10167,9927,82,
897,94622,131,10252,2411,59,
898,94622,131,10254,10261,65,
899,94622,145,10368,10523,76,
900,94622,145,10525,10541,79,
901,94622,131,10243,10258,79,
902,94622,145,10527,10532,83,
903,94623,120,10073,10064,58,
904,94623,132,10207,9726,66,
905,94623,120,10068,10204,68,
906,94623,120,80475,9793,76,
907,94623,132,10390,10205,83,
908,94623,132,10006,10202,89,
909,94624,129,10292,80171,62,
910,94624,127,70368,500,70,
911,94624,127,10175,10180,71,
912,94624,129,50532,10278,79,
913,94624,127,30408,10168,81,
914,94624,129,80166,77669,86,
915,94625,150,10272,80381,46,
916,94625,150,41277,10450,65,
917,94625,135,10101,10091,69,
918,94625,135,2485,10086,75,
919,94625,150,9687,10463,86,
920,94625,135,10104,10103,86,
921,94626,151,80277,10359,18,
922,94626,119,1065,125676,24,
923,94626,119,10392,10397,38,
924,94626,151,10350,10336,66,
925,94626,119,10398,10405,78,
926,94626,151,10362,10358,85,
927,94627,130,10323,69198,70,
928,94627,134,10128,10127,70,
929,94627,134,10147,10149,79,
