id_cartao_amarelo,id_partida,id_time,id_Jogador,tempo,acrescimo
641,94610,126,2571,85,
642,94610,126,9946,90,
643,94611,1062,70593,43,
644,94611,134,1977,63,
645,94611,134,10144,75,
646,94611,134,10150,86,
647,94612,151,55148,9,
648,94612,118,10019,30,
649,94612,151,10348,42,
650,94612,151,10340,52,
651,94612,118,9927,83,
652,94613,132,10223,90,
653,94614,120,10052,22,
654,94614,131,12744,49,
655,94614,120,10048,65,
656,94614,131,10247,76,
657,94614,120,10069,78,
658,94615,135,10104,31,
659,94615,135,10098,45,
660,94616,150,9963,58,
661,94616,124,10315,59,
662,94616,150,10459,83,
663,94617,119,1065,38,
664,94617,154,10416,48,
665,94617,154,10426,82,
666,94617,119,10317,84,
667,94617,154,10416,87,
668,94619,129,50532,45,
669,94619,126,9955,58,
670,94619,126,31015,70,
671,94619,126,,90,
672,94619,129,10267,90,
673,94620,127,2612,80,
674,94620,127,10157,90,
675,94621,118,10040,90,
676,94621,118,10033,90,
677,94622,131,10331,90,
678,94623,120,10048,43,
679,94623,132,10222,54,
680,94623,120,80190,78,
681,94624,129,10267,45,
682,94624,129,10269,75,
683,94624,129,77669,90,
684,94625,135,10085,48,
685,94625,135,10080,72,
686,94625,150,10448,82,
687,94625,150,63981,85,
688,94625,135,10091,87,
689,94625,150,9324,89,
690,94626,151,10359,45,
691,94626,119,10404,54,
692,94626,151,10364,72,
693,94626,119,10380,77,
694,94627,130,10490,50,
695,94627,130,10323,63,
696,94627,130,10481,66,
697,94627,134,10124,69,
698,94628,124,695,32,
699,94628,124,10318,60,
700,94629,154,10287,35,
701,94629,154,10419,65,
702,94629,128,10000,76,
703,94629,154,10417,84,
704,94629,128,10506,89,
705,94629,128,9985,90,
706,94630,126,9951,18,
707,94630,133,10561,21,
708,94630,126,9953,43,
709,94630,133,70299,58,
710,94630,133,10574,62,
711,94630,126,9961,88,
712,94630,133,10240,90,
713,94631,134,10128,17,
714,94631,129,80171,45,
715,94631,129,80186,81,
716,94631,129,80474,90,
717,94632,118,9912,67,
718,94632,150,10459,89,
719,94633,132,10006,29,
720,94633,128,9987,50,
721,94633,128,9978,68,
722,94633,128,9988,86,
723,94633,132,10197,90,
724,94633,128,2454,90,
725,94634,1062,9888,58,
726,94635,135,10101,27,
727,94635,133,10281,55,
728,94635,135,10099,56,
729,94635,133,10240,58,
730,94635,133,70299,70,
731,94635,133,10578,74,
732,94635,135,10096,81,
733,94636,121,9936,8,
734,94636,127,10156,54,
735,94636,121,9921,57,
736,94636,127,10180,78,
737,94637,145,10523,29,
738,94637,124,10319,30,
739,94637,124,10306,75,
740,94637,124,10312,90,
741,94638,151,10337,28,
742,94638,151,10337,37,
743,94638,154,13445,45,
744,94638,151,10336,81,
745,94638,154,10420,87,
746,94638,154,10429,90,
747,94639,119,10378,20,
748,94639,119,10377,36,
749,94639,120,80475,39,
750,94639,119,10402,56,
751,94639,120,10069,58,
752,94639,120,10072,62,
753,94639,120,10067,89,
754,94639,119,10398,90,
755,94640,126,9971,19,
756,94640,130,10323,67,
757,94640,126,9971,87,
758,94641,145,10525,49,
759,94641,127,46792,61,
760,94641,127,10174,90,
761,94642,1062,9863,36,
762,94642,1062,9872,39,
763,94642,1062,9872,43,
764,94642,120,10050,45,
765,94642,120,10056,52,
766,94642,120,10052,65,
767,94642,1062,9876,83,
768,94642,120,10073,83,
769,94643,131,10258,77,
770,94643,129,10271,85,
771,94644,135,10105,14,
772,94644,130,10501,53,
773,94644,135,10099,57,
774,94645,150,63981,32,
775,94645,150,9687,33,
776,94645,132,10211,45,
777,94645,132,10211,70,
778,94645,150,9963,82,
779,94645,132,10194,84,
780,94646,124,695,40,
781,94646,124,10328,45,
782,94646,154,10417,56,
783,94647,151,10352,26,
784,94647,151,10358,27,
785,94647,151,10196,42,
786,94647,151,115696,79,
787,94647,121,9918,89,
788,94647,151,10340,90,
789,94648,126,9946,40,
790,94648,119,10317,43,
791,94648,126,9964,49,
792,94648,126,9966,76,
793,94648,126,9953,80,
794,94648,126,9949,84,
795,94649,128,9987,16,
796,94649,134,10134,30,
797,94649,128,10506,34,
798,94649,134,1977,34,
799,94649,134,10138,45,
800,94649,134,10109,64,
801,94649,134,10493,74,
802,94649,128,9991,90,
803,94649,134,10117,90,
804,94650,118,10042,45,
805,94650,133,10561,47,
806,94650,133,10564,69,
807,94650,133,10581,73,
808,94651,134,10138,28,
809,94652,119,10404,90,
810,94653,118,10013,41,
811,94653,154,10437,59,
812,94654,129,10267,33,
813,94654,120,10068,36,
814,94655,132,10213,21,
815,94655,133,10553,25,
816,94655,133,10551,29,
817,94655,132,10194,37,
818,94655,133,10578,68,
819,94655,133,10037,89,
820,94655,133,10561,90,
821,94656,128,9992,12,
822,94656,128,9991,24,
823,94656,127,10174,25,
824,94656,128,10506,27,
825,94656,127,10180,34,
826,94656,128,2428,74,
827,94656,128,2454,89,
828,94657,131,10242,29,
829,94657,124,10306,48,
830,94657,124,10315,51,
831,94657,124,41227,67,
832,94657,124,10305,84,
833,94658,151,10348,86,
834,94659,135,10096,50,
835,94659,135,10082,53,
836,94659,121,9929,69,
837,94659,121,9939,74,
838,94659,135,10097,87,
839,94660,126,9972,59,
840,94660,150,10440,70,
841,94660,150,31015,86,
842,94660,150,41277,90,
843,94662,120,10069,27,
844,94662,126,9959,58,
845,94662,120,10073,73,
846,94662,120,10056,77,
847,94663,118,10015,41,
848,94663,131,10258,45,
849,94663,118,10040,53,
850,94663,118,10024,53,
851,94663,118,10033,73,
852,94663,131,10261,89,
853,94664,127,10180,26,
854,94664,135,2485,72,
855,94664,127,500,84,
856,94664,135,10104,87,
857,94665,150,9963,89,
858,94665,150,10459,90,
859,94665,129,80166,90,
860,94665,129,50532,90,
861,94666,121,9916,78,
862,94666,154,10408,82,
863,94666,154,10256,86,
864,94666,154,10417,86,
865,94666,154,10419,88,
866,94667,151,10339,45,
867,94667,151,10359,49,
868,94667,151,10353,62,
869,94667,151,10352,74,
870,94668,132,10390,3,
871,94668,132,10195,45,
872,94668,132,10222,52,
873,94668,132,10187,67,
874,94669,130,10507,20,
875,94669,128,2454,56,
876,94669,130,10495,71,
877,94669,130,2414,81,
878,94670,134,10124,26,
879,94670,133,10581,45,
880,94670,134,10128,64,
881,94670,134,10143,67,
882,94670,133,10240,78,
883,94670,133,10558,90,
884,94671,134,10128,8,
885,94671,134,10124,45,
886,94671,134,10493,86,
887,94672,133,10571,5,
888,94672,1062,9880,39,
889,94672,1062,9883,53,
890,94672,1062,9865,66,
891,94672,133,10281,76,
892,94673,118,10042,45,
893,94674,135,10089,15,
894,94674,129,10292,64,
895,94674,135,10080,79,
896,94674,135,10104,83,
897,94674,129,10267,90,
898,94675,131,10261,3,
899,94675,131,2411,43,
900,94675,132,10205,56,
901,94675,132,10192,77,
902,94675,132,10197,83,
903,94676,127,10173,29,
904,94676,119,10387,69,
905,94677,124,10315,23,
906,94677,124,10319,38,
907,94677,128,9995,51,
908,94677,128,9987,74,
909,94677,128,10506,90,
910,94677,128,10506,90,
911,94678,145,140452,30,
912,94678,130,10495,85,
913,94679,150,41277,61,
914,94680,151,10349,32,
915,94680,126,2571,49,
916,94680,151,10337,69,
917,94680,151,127367,73,
918,94680,151,10340,90,
919,94680,126,9965,90,
920,94681,132,10213,86,
921,94682,129,10267,53,
922,94682,129,10003,60,
923,94683,118,9927,30,
924,94683,145,80312,76,
925,94684,133,10281,27,
926,94684,131,10254,45,
927,94684,133,143368,58,
928,94684,133,10553,68,
929,94684,133,10581,69,
930,94684,131,10250,73,
931,94684,133,10552,90,
932,94685,126,9959,32,
933,94685,127,10168,35,
934,94685,126,9946,43,
935,94685,127,10174,75,
936,94685,127,500,85,
937,94685,126,9964,90,
938,94685,126,9976,90,
939,94686,130,10483,5,
940,94686,124,10311,52,
941,94686,130,10323,55,
942,94686,130,10505,79,
943,94686,130,133187,90,
944,94687,154,10417,4,
945,94687,120,10049,45,
