Iddojogador,Nomedojogador,Iddotimerodada1,Iddotimerodada2,Iddotimerodada3,Iddotimerodada4,Iddotimerodada5,Iddotimerodada6,Iddotimerodada7,Iddotimerodada8,Iddotimerodada9,Iddotimerodada10,Iddotimerodada11,Iddotimerodada12,Iddotimerodada13,Iddotimerodada14,Iddotimerodada15,Iddotimerodada16,Iddotimerodada17,Iddotimerodada18,Iddotimerodada19,Iddotimerodada20,Iddotimerodada21,Iddotimerodada22,Iddotimerodada23,Iddotimerodada24,Iddotimerodada25,Iddotimerodada26,Iddotimerodada27,Iddotimerodada28,Iddotimerodada29,Iddotimerodada30,Iddotimerodada31,Iddotimerodada32,Iddotimerodada33,Iddotimerodada34,Iddotimerodada35,Iddotimerodada36,Iddotimerodada37,Iddotimerodada38
9706,Giovanni,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,118,118,-1,118,-1,-1,-1,-1,-1,-1,-1,-1,118,118,118,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10089,Fabrício Bruno,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,-1,-1,135,135,135,-1,-1,135,135,135,135,135,135,135,135,135,135,-1,135,135,135,135,-1,-1,-1,-1,-1
10085,Cacá,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,135,-1,135,135,135,-1,-1,135,-1,-1,-1,-1,135,135,135,135,135,135,135,135,135,135,135,-1
10097,Éderson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,135,135,135,135,135,-1,135,135,135,-1,135,135,135,135,135,135,135,135,135,135,-1
106485,Mauricio,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77669,Felipe Silva,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,129,129,129,129,129,129,129,129,129,129,129,129,129,129,-1
80171,Mateus Gonçalves,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,129,-1,-1,-1,-1,129,129,129,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,-1
30408,Gerson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,127,127,127,127,127,127,127,127,127,-1,127,127,127,127,127,127,-1,127,127,127,-1,127,-1,127,-1,127,-1
10445,Ronaldo Alves,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,150,150,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1
41277,Jean Cleber,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,150,-1,150,-1,-1,-1,-1,150,-1,-1,150,150,-1,-1,-1,-1,-1,150,150,-1,150,-1,150,150,-1,-1
10374,Danilo Fernandes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,-1,-1,119,-1,-1,-1,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,-1,-1,-1,-1,-1,-1,-1,-1
10398,Wellington Silva,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,119,-1,119,119,-1,-1,-1,119,-1,-1,-1,-1,-1,-1,-1,119,-1,119,-1,-1,-1,-1,-1,-1,-1,-1,-1
10483,Paulo Miranda,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,-1,130,130,130,130,-1,130,-1,-1,130,-1,-1,-1,-1,130,-1,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10484,Rafael Galhardo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,-1,130,-1,130,130,130,130,130,130,-1,-1,-1,130,-1,130,-1,-1,130,-1,130,-1,-1,130,-1,130,-1,-1
10108,Raniel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,126,126,126,126,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1
10205,Amaral,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,-1,-1,-1,-1,-1,-1,132,-1,132,-1,-1,-1,-1,132,-1,-1,-1,-1,132,132,132,-1,132,132,132,-1,-1
9726,Renato Kayzer,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,-1,-1
10553,Leandro Castán,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,133,133,133,133,-1,133,133,133,133,133,133,-1,133,133,133,133,133,133,133,-1,-1,-1,133,133,-1,133,-1
9970,Nenê,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,-1,-1,-1,124,124,124,124,124,124,124,124,124,124,124,124,124,124,-1,-1,124,-1,-1,-1,124,124,124,-1
41247,Henrique Almeida,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,132,132,132,132,-1,132,-1,132,-1,132,-1,-1,-1,-1
42163,Lucca,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,118,118,118,118,118,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,118,-1,-1,-1,-1
63981,João Vitor,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,150,150,150,-1,150,-1,150,-1,150,-1,-1,-1,150,150,-1,150,150,150,150,150,150,150,150,150,-1,-1
10499,Darlan Mendes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,130,130,-1,-1,-1,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,-1,-1,-1,-1,-1,130,-1
46792,Pablo Marí,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,-1,127,127,127,127,-1,127,-1,-1,-1,127,-1
41227,Muriel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,-1,-1,-1,-1,-1,-1,-1
10380,Klaus,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,-1,119,119,-1,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10379,Bruno Fuchs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,-1,-1,-1,-1,-1,-1,-1,-1,119,119,-1,-1,119,119,119,-1,-1,119,-1,-1,-1,-1,-1,-1,119,-1
9931,Jean,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,-1,-1,-1,-1,-1,-1,-1,121,-1,-1,-1,-1,-1,121,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9938,Arthur Cabral,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10509,Lucas Frigeri,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,145,-1
70796,R. Franco,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,-1,145,145,145,145,145,145,-1
14487,Bruno Sávio,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1977,Adriano,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,134,-1,134,134,-1,-1,-1,-1,-1,-1,-1,-1,134,134,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
256,Dani Alves,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,126,126,126,-1,-1,126,126,126,126,-1,-1,126,126,-1,126,126,126,126,126,126,126,126,126,-1,-1
34,Filipe Luís,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,127,-1,127,127,127,127,127,-1,-1,-1,-1,-1,127,127,127,-1,-1,127,-1,127,-1,127,-1,127,-1
50532,Lima,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,129,129,-1,129,129,129,-1,129,129,-1,-1,129,129,129,-1,-1,-1,-1,-1,-1,-1,129,129,-1,-1
9936,Willian,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,-1,121,121,-1,121,121,121,-1,121,121,-1,-1,121,-1,-1,-1,121,-1,-1,-1,121,-1,-1,-1,-1
125677,José Gabriel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42100,Maurício Ramos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,132,132,132,132,132,132,-1,-1,-1,-1,-1,-1,-1,-1,132,132,-1,-1,-1,-1,-1,132,-1,132,132,-1
70299,Talles Magno,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,133,133,133,-1,133,133,133,133,133,133,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
