idGol,idPartida,idTime,idJogadorGol,idJogadorAssistencia,tempo,acrescimo
492,94682,1062,44494,,54,
493,94682,1062,9899,9863.0,81,
494,94683,118,10042,10041.0,25,
495,94683,118,10015,10042.0,27,
496,94684,131,10243,10254.0,59,
497,94686,124,9970,10328.0,7,
498,94686,124,10316,10328.0,50,
499,94686,130,69198,106510.0,75,
500,94687,154,10052,,61,
501,94688,151,10196,10364.0,62,
502,94689,119,10388,10402.0,28,
503,94689,121,9936,,58,
504,94690,128,10000,,35,
505,94690,128,10004,19420.0,57,
506,94691,134,10142,10493.0,57,
507,94691,134,10129,10493.0,65,
508,94691,118,10044,10015.0,76,
509,94692,124,10328,10305.0,35,
510,94693,151,10364,,27,
511,94694,127,10180,10177.0,35,
512,94695,119,10396,10402.0,10,
513,94695,135,10104,,63,
514,94696,150,10290,9324.0,14,
515,94696,145,140452,80312.0,48,
516,94696,150,9963,,71,
517,94696,150,10450,41277.0,90,5.0
518,94698,1062,9883,9874.0,45,3.0
519,94698,121,9939,9926.0,83,
520,94699,126,9976,256.0,14,
521,94699,154,10437,,39,
522,94699,126,9967,9971.0,79,
523,94700,128,9999,19420.0,50,
524,94703,120,10051,10052.0,32,
525,94703,120,10068,,65,
526,94703,151,10052,,77,
527,94703,120,10071,10076.0,81,
528,94704,131,12744,10258.0,16,
529,94704,134,10129,10493.0,24,
530,94704,134,10130,,32,
531,94704,131,10254,10261.0,45,3.0
532,94706,150,9963,,66,
533,94707,127,10173,10177.0,37,
534,94707,1062,9883,9886.0,51,
535,94707,127,10177,46792.0,61,
536,94707,127,10166,10177.0,76,
537,94708,154,10437,,50,
538,94708,154,10437,10417.0,81,
539,94709,130,10485,10502.0,35,
540,94709,130,10498,,42,
541,94709,129,10279,10271.0,44,
542,94710,128,9992,10000.0,14,
543,94710,128,10506,,17,
544,94711,127,10180,,45,
545,94711,127,10180,10163.0,90,1.0
546,94712,130,10484,10500.0,34,
547,94712,130,10498,,44,
548,94712,1062,47552,,45,4.0
549,94712,130,10500,10505.0,47,
550,94712,130,10501,10323.0,90,4.0
551,94713,129,77665,10275.0,90,
552,94714,135,10090,10104.0,4,
553,94714,132,10390,,90,5.0
554,94715,124,9970,,20,
555,94715,124,10320,,45,
556,94716,151,10364,10355.0,44,
557,94718,121,9924,9926.0,15,
558,94719,126,9946,,66,
559,94720,133,10581,,68,
560,94721,119,10388,,22,
561,94721,119,10397,10382.0,85,
562,94722,135,10098,10096.0,58,
563,94723,150,9687,10272.0,34,
564,94723,1062,9863,,69,
565,94723,1062,9899,9876.0,85,
566,94723,150,9963,,89,
567,94724,124,10303,,4,
568,94724,134,10117,10128.0,45,3.0
569,94724,134,10117,10143.0,71,
570,94725,154,10416,,61,
571,94725,127,10174,,83,
